review_text,review_rating
"NO STARS!! This hospital is the pitts. The staff from the reception upwards are a nasty,, particularly at the Urgent Care Centre. The Drs don't listen to you and are extremely rude and arrogant. There is a message on the tannoy at the UCC warning patients of bad behaviour! It's very annoying to hear this every few minutes. I have been to UCCs in other hospitals and have not heard this insulting announcement! If anyone is rude it's the staff, admin and medical.

The UCC is inefficiently managed. They should have 10 minute slots with each patient and then the wait wouldn't be so long.

All the staff need courses in customer service including the medical staff on how to speak to people with respect.

All the Drs who took a few attempts to pass their medical examinations, must end up RHH. They're all rubbish!! They're the worst I have ever came across.

I told the Dr at the UCC not to prescribe me anything with steroids in, as I am on enough steroid medication to keep me alive and have bad side effects from them.  He completely ignored me and my medical bracelet for a life threatening condition and prescribed steroids.  He wasn't listening. I reacted to the medication and had to go back to RHH UCC the following day. The receptionist was rude and so was the second Dr I saw, who insisted that I CONTINUE to use the medication I had reacted to badly!   I persisted and insisted she prescribe antis which I got.  They should've prescribed antibiotics in the first place.

I didn't like the way both of these Drs spoke to me. My rare health condition was ignored and I get stressed easily because my body doesn't produce the stress hormone. This was not taken into account,  despite me wearing medical bracelet. I felt very vulnerable and accused of bad behaviour, when I was stressed. The staff should try to calm patients down.  If I behaved like RHH staff at my workplace,  I would get sack!

I will never visit the UCC here again.  Been to Dudley Guest, Corbett, Wordsley Hospital (before it shut down) and New Cross which are all fantastic!!  They treat people with respect as opposed to RHH, and there are no annoying tannoy messages warning people about their behaviour. This is insulting and it's tarring people with the same brush. The place needs shutting down. All the staff in there need sacking!! Don't go to RHH for any reason. Also been to QEbham and that's excellent too! Every experience at this RHH has been an atrocious and a shambles. Don't come here!!!  It has a bad reputation locally, when you visit the place you understand why this is the case. I rate it minus three million.",1
"Went to a&e Saturday afternoon with an abscess on my back, I was there for around 4 hours, they got me back in the following morning for surgical removal. I couldn't be happier with the treatment I received. All the staff were super nice & made me feel at ease.",5
"Do I have to choose at least 1 star?! Just abandon all hope at the Urgent Treatment Centre. The staff are rude and very unhelpful, particularly the dark haired lady who wears the dark blue scrubs. When you're reading a letter that states a diagnosis and what I've been sent for and you still tell me ""well we don't know what's wrong with you, do you see what I mean""....you really shouldn't be in a customer facing/paperwork related job! They seem to forget about empathy and customer service and have got way too used to thrusting a form at you to fill in. Communication is shocking bad. What should've been a quick in and out job to collect something turned into a 2 hour wait in a roasting waiting room! I know they're all busy and rushed off their feet so I sat there patiently waiting to be called getting more irritated as the time went by. Turned out that when I was called the lady said she was expecting me to go straight round to them as they'd be given a call earlier to expect me. Fuming doesn't even cover it! No one has a clue what another department is doing. You're endlessly passed around like a lost parcel! No wonder the NHS is broken.",1
"Currently in a life threatening situation and their answer to everything is blood test results was also promised an admission to a psychiatric facility but they didn’t bother to tell me I was just going there to get assessed and a home treatment team would be seeing me, livid",1
"Recently my mum was admitted via A&E where the care was amazing
She later was transferred to AMU 2
Where I can honestly say the care was exemplary. Both professional and kind
An absolute credit to the NHS
Excellent communication with myself and family and always kept updated on progress and plan of care

Many thanks",5
Short staffed which isn't fair on the rest of the nurses/ doctors  they are run off their feet and work very hard  I did have a long wait but I also know that these nurses / doctors are doing their very best to see patients as quickly as possible . A little patience goes a long way .,5
"Amazing response from paramedics today- arrived within minutes for potentially a serious condition. Kind, courteous, professional from all the staff. A massive thank you.",5
I had a really bad experience at Russell hall hospital. This was (adult abuse )and should be raised as a safeguarding case. That's how serious I believe it is .I went in for a day case. Whilst in the admission room got taken to the surgery room . I underwent my producer and brought back to the admission room where patients recover .I was  just left in server pain for serval hours suffering in the worst pain you could imagine for 7 hours.  I was sick and unable to keep down the pain medication the nurse gave me orally. .The nurse tried several times to call the doctor back to review my condition he would not come she called him so many times  but it was in vain. Just imagine suffering the worst pain ever.  This paitent sitting in front of me had to call staff for help and assist me I was sick and my grown had blood all over it and my stomach was in so much pain.  The nures called  the doctor on the phone who eventually arrived around 6sh.  He put pain killer medication in my tube in my cannula  just walk away. I heard the nurse say to the doctor she cannot be discharged home like that. The doctor told her to hurry up and transfer me to B1 ward . He put so much pain killer in my system it knocked me out. I couldn't ever speak to my son and his girlfriend when they visited me they had to come later in the evening because of time it took to attend to my health condition. I believe doctor to be caring but not in this case . It is a safeguarding I soon realized I will be calling and making a compliant.,1
Had to visit the paediatrics ED and have an x-ray. All of the nurses and doctors were attentive and well mannered. Very professional and we were out in 2 hours. Thank you for the team that cared for my lad.,5
"Went this morning to see consultant  re a possible  skin problem  on my face,  consultant  excellent. Then had MRSA test and photos taken. Everyone  was brilliant. All done and out in 45 mins
Thank you
M.T.",5
"Came in with high BP 206 , high heart rate , risen temp , was supposed to go to A&E department ended up waiting 7 hours to be seen,  2 kids with me , 1 GP for the whole of the urgent walk in center was initially triaged and told I was an emergency and needed to be seen asap, ECG showed abnormalities but here I sit still waiting to be seen, can't be that much of a priority reception didn't help much didn't seem to care and just said if you get worse let us know which I did do and nothing changed",1
"Terrible place that almost killed me, treated for stroke for 3 weeks whilst having seizures  and one night I was double dosed whilst I was sleeping. I was transferred to QE who said my liver was screaming as I was given wrong drugs and this is what caused the damage. I was diagnosed with epilepsy at QE after spending 7 weeks in hospital. I'm out now but staff, catering staff and cleaners where rude and not even bothered. I had 7 seizures here and had lock jaw from all the stress where at QU I only had 1. I feel I would had better treatment at PDSA than here.",1
"The C2 ward is awful!
Took my 3 month old out in the middle off night in a different room without telling me.. she had no name tag on her for 4 days!
They wanted me to leave my 3 month old In a car chair at the entrance by her self!
Getting all the information about my daughter wrong! Didn’t even tell me she was on medication !!!
Awful! Don’t trust my child there ! Communication is awful!",1
"Chaos & incompetents. Say one thing then do another. My partner, Waited all day for pain relief. Waiting 9 hours for medication so could be discharged. Patient next to me was in agony waiting for pain relief.  Doctors who can't speak proper English. Staff with tattoos etc on display, looks unprofessional. I would rather perform surgery on myself with a knife & fork, than let these idiots anywhere near me. What were people clapping for again?",1
"I received amazing care from this hospital and the SDEC Unit. However, I witnessed the most horrific behave from one gentlemen who constantly threatened staff over a 7 hours period and wasn't removed!! I commend the staff for what they had to put up with and the hospital needs to do lore to protect them.",5
"On Sunday 10th July, I turned up at A&E at 4pm, with Covid complications, high fever and extreme pain in my right Sinus and head.  I was drenched in sweat and became hysterical when I saw the 4 hour waiting time.

The Nurse saw me immediately, he was amazing, so calm, lovely, mindful and took my blood pressure, I was taken in for an ECG and seen by another lovely Nurse and a ward GP.

A senior nurse immediately assessed my ECG and symptoms,  she was incredibly calm and very thorough.

I cannot thank the amazing staff on Sunday enough, it was boiling hot weather, you didn't have any air conditioning, yet you soldiered on and helped.  xx",5
"Went to walk in centre for prescription for antibiotics to treat infection on leg. Expected to wait for a long time as was quite busy, but was seen in under one hour and treated by extremely pleasant and professional staff. I cannot praise the service and staff enough! Excellent facility with service by lovely nurses and office staff.",5
"Had a skin lesion removed on Wednesday. 4 health care professionals in the room,all very pleasant and put me at ease. Can not fault my experience.thank you all",5
"I would like to say a MASSIVE! thank you to all the staff in the SDEC Unit. from the ladies taking details, the ladies giving blood, the consultants. I was made so welcome, treated like I was the most important person in the world and they did this with everyone.
Everyone was so well looked aftered, because our waiting times were so long food was handed out with tea and coffee. Well done everyone and thank you. You are all angels.",5
Fantastic Hospital. All staff are friendly and made me feel welcome.,5
"Went in for an operation last Sunday, on a hernia that I was diagnosed with 2 years ago, what with covid and hospitals trying to play catch up i do understand, the wait.
Got to the hospital at 7.15 was made welcome on ward b1. Shown to my bed and left to relax, nurses and doctors came in done tests and gave me all the info I needed before the operation, staff new how nervous I was and helped me to feel calm, went to theatre in the afternoon wasbso nervous, the anesthetist got me to chill on bed and done all the needles before I could think about it just brilliant, the staff in the theatre and on the ward top rated.
Thank you all",5
"8/3/22.Took relative with abnormal heart beat to minors ED at 6pm. Although busy, were first seen within the hour. There were coffee stains on the floor and rubbish left on seats. Tests needed to be repeated and we ended up being there for 10 hours, the majority of which was spent on an upright chair in the waiting room. During the whole 10 hours, the spilt coffee and rubbish on chairs remained there. The only toilet in working order was not cleaned either. Two other patients with sickness were left in the waiting room vomiting in public. Ham sandwiches were offered to everyone including the Muslim families, please be sensitive! We saw a doctor who thoroughly went through my relative’s symptoms. By 4am, she had gone home and we had to repeat it all over again for a new doctor. She couldn’t find a quiet space to discuss her findings, so she took us through to majors and showed us into a cubicle. This hadn’t been cleaned after the previous patient and there were clear boot prints on the sheet. Finally just after 4am it was suggested that my relative went home and returned for clinic at 8am the same morning!
General view, medical personnel were friendly and explained everything asked. They were very over worked. Hospital premises in ED minors was dirty and not cleaned for over 10 hours.
10/3/22 Same relative went to out patient clinic. Very different experience. Much cleaner and comfortable chairs for the 7 hour experience. Out patients clinic would receive 4.5 stars.
13/3/22 came back into A and E and was transferred firstly to resus and then to Cardiac care . Both excellent. Julie in Cardiac day care was excellent and helpful. This visit much better 5 stars.",2
"I'm in hospital at the moment with a rare case of meningitis which has caused many problems including 2 bleeds on the brain.
I would give this hospital 5 stars because the doctors and the nursing staff have been second to none.
I have been told under no circumstances to get myself worked up or stressed in Amy way because another episode could kill me.
So......
In their world of wisdom the consultants who I must say let this whole place down due to them thinking that they are God and can Do no wrong put a dementia patient in the bed next to me.
As you can imagine I have had very little sleep in a week.
Obviously it's not the patient to blame as he has no concept of reality so life to him is totally normal.
The girls and boys work their hearts out and do their best but most of the time are banging their heads against the nearest wall.
Surely it's about time the trust looked at these decision makers who earn massive salaries and made some drastic changes.
Forgot to mention....
A consultant who can't be named was going to send me home because he wasn't even looking at the right scam.
REALLY????.
GOD HELP THE STAFF.
Yours.
Richard Jackson",2
Russells hall has saved my wifes life  twice. Once when she had bacterial meningitis then 7 years later with bowel cancer  . Can't praise them enough on both occasions,5
