new_review_text,new_review_rating
"disgusting, I used just 2 minutes or less the pick up of that small car park but i paid £6 for it. they designed the pick up point inside one of their small car park so visitors must pass the barrier into the car park to the pick up point and of course in exit point there are barrier to charge them. the person on the phone told me that it is what it is!!! well robbery everywhere by every one who say or manage these robberies.
when you go to other countries, all the shopping centres or airports are free but ""best country in the word"" is charging even more than they can in anyway and they can be rude to you too. just because they can.",1
"I must be one of many people who are ashamed of our local airport. The toilets are disgusting and smell awful. In the ladies toilet in the baggage reclaim hall the bins were overflowing with used sanitary products. The walkway out to the planes looks like it’s never been cleaned - thick with cobwebs and very dirty. It is freezing cold in the winter and the departure gates at the far end, where you are made to wait outside before boarding, is a joke with the toilets seemingly out of order on a permanent basis. Even the Yorkshire longe was one of the worst lounges I have ever been in. Stained seating, dirty tables and with no dedicated toilets. You desperately need to improve. I feel I need to apologise to friends and relatives who visit us via this facility.",1
"Absolutely dreadful airport, this is an organisation that has no means of contact so they think they are above the law. They have no interest in speaking to the public about their services and allow parking thugs to operate all car parks. When I travelled abroad I managed to take 2 pairs of scissors and a cheese knife in my hand luggage unchallenged, nobody at security asked me to remove my shoes either, it was a shambles. A disaster waiting to happen.",1
"one way parking system, no
advanced indication that you can not turn away or around once you entered one way system, without incurring hefty fees or fines. I was taught a lesson.
and so will every unsuspecting customer or visitor.well done.
recommend getting a taxi or bus.or get a train to Manchester and avoid LBA.",1
"Awful made to stand on a bus in cramped conditions which with the current medical condition I have caused severe pain. This could have been resolved by just letting me off the bus to walk or sit for a short while. Whilst it is appreciated that the problem was not of the making of the staff present it was purely down to poor planning and a poorly provisioned so called International Airport.

First and hopefully last time there.",1
"Was told by LBA staff that our flight was full, so we couldn't have hand luggage. Had to unload half of our stuff into a bag provided them and check in our now half empty handbaggage. All in the name of saving space. Got on the half booked plane to see we were only one of a few that had to do this. Tons of room in overhead lockers. 4 hours in Amsterdam with no toiletries or power cables for laptop etc. Why did they lie to us?",1
"An airport to avoid. Dramatically bad logistics and infrastructure, dirty, understaffed, make zero effort to treat passengers in a humane way. In case of issues passengers are kept on their toes with updates saying ""the next update will happen in 30 minutes"" (sometimes 60). This repeats for many hours with no real info. One representative told me that she can't tell when the bus transfer to another airport will arrive - ""this can be 30 minutes or 4 hours"" so we wait forever at a door instead of just relaxing for hours getting a full meal at a restaurant. And once they give updates they are probably made by random update generator because they are completely unrealistic and I mean physically impossible which is apparent at first glance. Evil people.",1
"The worst airport ever!!
I've been just dropping off my wife today and guess what - I had to pay 6 pounds fee for dropping off option, which should be free. It took me 2 minutes to enter the gates, let my wife go and get to the exit gate. It's a robbery.
Moreover after speaking with my wife she said it's a very stresful flight, as they're massive ques everywhere and she was so scared that she would not be able to do everything on time. We arrived few minutes after 4 o'clock and the flight is 7:10pm, so u could imagine how time consuming and bad organised this airport is.

Shame. Will defnietly avoid in the future.",1
Dropping my elderly mother off and got charged £6 for 4 minutes of parking at the drop off area. My mother is a proud woman who does not want a disability badge but the free parking is a significant walk away especially on a winters evening. I don't mind paying but £6 is taking advantage of the situation.,1
"Car rental is a long way to walk in the dark with limited lighting and no signposts. Security area too small and crowded. The walk through the shops is bad if you have claustrophobia due to low ceiling, narrow walkways, over ambundance of shops with glaring lights, music, perfume. No decent seating areas that are quiet. All the food places were appaling (price, food option/quality, service, atmosphere). Makes no attempt to make flying less stressful. The airport needs a major revamp, modernisation to bring it into the 21 century rather than cheap build add ons cramming more into small space. Only good point being a smaller airport less likely to suffer delays.",1
"Flew from LBA on 14th February 2024.
Major problems at security at around 7am due to faulty equipment and extremely poor staff.
Communication between security staff and passengers was non existent.
Took 55 minutes to process 2 items of hand luggage.
Appalling service.",1
"“If only I could give this place no stars. What a dump. It’s been a few years since we flew from here but I doubt they have cleaned the toilets in that time, they are truly vile. In fact the whole experience was horrible, heaven knows how much cash this place generates, but you can be sure none of it is being reinvested, it’s dirty.
Whoever is in charge needs to go and have a look at Newcastle or Teesside airports, that’s how to do it, genuinely whoever is in charge should be ashamed of themselves.",1
"Awful, nothing about it is good, sucks so bad. Like a windy wet fart. Has to be worst airport in Europe for a number of reasons, it just isn't built for purpose at all.",1
"Disgusting signage regarding all parking options available. An attempt to ensure fines will be handed out to confused travellers for extra revenue? It's absolutely despicable. Poor narrow access roads makes parking more difficult too. On leaving, one way systems operate at points where they are not necessary or practical. BEWARE, stop on a red line and there's a fine coming your way! LBIA need to totally review their traffic and parking management syste!",1
"The worst experience I have ever had at an airport - ever! Please read this and take note. This airport is an absolute ripoff. I dropped my wife off this morning, flying to the USA via Dublin - only the road forks immediately outside the terminal. Which way do you go, you may be asking yourself? Well……..0-10 minutes immediately outside the airport is going to cost you SIX POUNDS! Are you kidding me? Like so many others have posted, I inadvertently ended up in a bus only lane………so reversed up to select a different lane and drop my wife off at departures. There are cameras everywhere to catch your Registration Plate……so you are paying ££££ whichever way you go. Distasteful signs warn of ‘stopping’ anywhere on the roadway, for fear of a massive fine in the mail. This airport is WORSE than Heathrow. Do yourself a favor, avoid this airport like the plague. Huge ripoff, money making scam. Should be illegal. I hope this airport gets shut down. Leeds-Bradford Airport Management YOU NEED TO DO BETTER. THIS IS SHAMEFUL.",1
"I've used this airport at least 50 times over the last ten years. It just gets worse.
It's now basically Wetherspoon's with a runway, departures is full of drunks at 7AM. Very unpleasant if you're traveling with kids. Arrivals is no better, I am typing this to pass the time at the baggage carousels where I've been for over an hour without any explanation.
Go to Newcastle Airport if you can.",1
"The dirtiest airport in the world, not only it is filthy but the security staff also target only certain people/colours. Only certain people get stopped on a regular basis even when wearing trainers. Even when you have not triggered any walkthrough alarm, still another scanner is applicable to certain colours. The owner needs to review the dirty tricks of the private firm hired for security. Airline staff are polite and cooperative, however the airport itself not clean and the security staff at check in points are clearly dirty.",1
Flying from this airport 4th time this year and my perfume bootle was 100ml since today was everything ok but unfortunately one young lady can’t recognise 100ml bootle and a bit less than half of bootle is used since Jan this year. So far was good but £120 perfume gone coz someone can’t recognise simple thing like 50ml of liquid in 100ml bootle🤦🏻🤦🏻🤦🏻,1
"We were really excited to go for our day trip to Dublin. Our Ryanair flight was at 6:35 we got to the airport for 3am, myself, my partner & my son who is 4. We were queing out of the door just to pass through security. 2.5 hours later queing. We went to our gate & they let people in. It was absolutely boiling in the room we were all waiting. We were waiting & waiting until I approached the lady checking us in through the gate. She said we will be able to board in 1 second. 20 minutes later a lady came through & said due to staffing issues this is why we were late boarding, so they let the jet 2 passengers on before us even though their flight was at 7am. Literally leaving the Ryanair fliers high & dry because @jet2 take priority
The same lady then told us we were delayed because the tyre was flat & they needed to repair it. The lady telling us this also said ""they decided to do this at the last minute"" anyway after nearly an hour being delayed & waiting to board the flight. We finally got on. The Ryanair captain apologised & said the delay was down to staffing issues. They were lying & trying to cover their tracks. On the way home from Dublin no issues, but we get to Leeds Bradford airport & we were sat waiting on the plane for 20 minutes for the ladders to come to let everyone off the plane, again Ryanair again left high & dry. The bus & everything else was there just not the ladders. Absolutely horrific experience @leedsbradfordairport noone knows what's going on & what to do in the ""staffing issues"" If you treat all your airlines/staff the same, maybe you wouldnt get so many bad reviews & have people leaving also you have. Absolute Shambles!",1
"First time in many years we flew into LBA and it was a total shambles, Poor overall experience due to delay on the runway waiting for a driver to turn up to lead the plane to space, normal ques at passport control but they did have every stAtion manned and a complete disaster in delivering passenger cases.

Over 2 hours (nearly as long as our flight 🤬)from landing to getting cases which were left on the runway and then loaded on the wrong belts and not one member of staff around to take control.

This is what happens when you sack people instead of looking after your staff.",1
Travelled from Leeds Bradford today. What a shambles it is. Not enough staff. Queues were a mile long. People not getting to their planes on time. Weren't very helpful to people with disabilities like Manchester Airport are. My plane left 30 mins late having to wait for everyone to board. I don't think I will travel from Leeds again. Manchester Airport all the way,1
"@LBA this would have been a 5star review as I'm very impressed with the new facilities but it's a shame despite all your effort and investment to improve LBA and the travel experience that you choose to partner with the Nova Taxis (trading as Arrow Taxis).

They are an absolutely useless taxi company, LBA should get rid of these then as soon as possible. They can't provide a proper receipt when you book at the booking office and they delete your account after all pre-booked journeys so again you can't get a proper receipt. They are using the name Arrow Taxi but they are actually Nova Taxi Nottingham so not to be confused with other Taxi companies called Arrow Taxis",1
Long stay cat park is horrible gave us a late fee of £255 (even though we weren't late) and there was no number to call. Also the original payment for staying was £132 which we PAID so in conclusion it's cheaper to just take a taxi there and not leave your car there.,1
"bad location, bad access, expensive parking, parking mafia, you pay for parking at the airport, someone drive your car, when you come back the car is at the opposite end of Leeds, 15 miles from the airport.  Bangladesh airport is better",1
"What an absolute shambles. Waited for buses to arrive so we could leave the plane, driven around in circles back to the same location. Waiting for immigration clearance at 07:30 and they basically couldn't run a bath let alone an airport. Is it time to close LBA?",1
"This is one of the worst airports I have  visited it’s dirty, on other airports cleaners are constantly going round the outside corridors have weeds and rubbish.
The airport lounge is also bad cold food and no one clears up.
Once the new facilities are available I may return. The only thing is unless the management changes it will get to the same state.
Not really worth the 1 star",1
"Appalling security service! They never open more than 2  gates, and the waiting times are ridiculous. Very stressful and negative experience! I almost lost my flight because of them even though I was there 2 hours before departure time. They just don't care!",1
My flight got delyed 15 hours yesterday on the screen it said delayed 30 min then 30min then 30min again and again my flight was ment to be at 6.00 in the moring then my flight was at 9.00 at night and we had to change airports to Manchester it was a horrible experience,1
"Air port is in bits and in need of a drastic refurbishment to bring it back up to date, it can't cope with the volume of foot traffic for size of the airport when there are delays. Not to talk about the incompetent maintenance staff who can't keep the aircrafts in safe flight conditions when Severe weather warnings for the last 3 weeks.",1
"Beware! It costs £6 to simply get dropped off /picked up outside the airport. Money grabbing, corrupt behavior from this and all U.K airports.  Disgusting!",1
£6 for 5 min to pick up from airport is a complete rip off. The free area is too far away to drag luggage to especially when it's pissing it down. They couldn't put the free drop off area in a more inconvenient part of the complex without digging a moat round it and filling it with sharks. Greed simple as.,1
"FR2482 the worst experience in the UK so far. They left us standing in ice cold wind and rain for 20+ minutes at 5.25am in November !!!! before letting us board the plane. No apologies, no anything! Awful awful",1
"Awful airport.  Staff miserable and rude and the whole place is filthy. I cringe whenever I set foot inside. The prices are extortionate and the parking charges are an absolute rip off.  GREED, GREED AND YET MORE CORPORATE GREED. The Directors should be embarrassed by having this as their legacy!  ...",1
"It's all about the money it seems. Drop off charges shouldn't be allowed. The price of food and drink is obnoxious. 1.79 for a packet of crisps. Just because it's an airport shouldn't mean everything becomes expensive and we shouldn't have to accept it. The food and drink places are expensive too and the quality is very ""meh"" and not reflective of the cost. Sadly it's a captive audience.",1
"Cramped, claustrophobic and poorly run would be my summary. Took 80 minutes to get luggage after an hour flight from Amsterdam during which time nobody provided any updates to the people in the baggage hall who were essentially held hostage, resulting in a £20 parking fees to those picking me up. Want proof? Look at the time of landing in the picture and the current time and in the background the roller shutter door is just starting to raise. There were no other in bound flights waiting for their luggage the entire time. What a rip off! The low ceilings and poor air movement make it stuffy and claustrophobic. There's a general grime to the whole place that gives the impression that it's not well up kept or maintained. Feels more like a 70's bus station. Employees have a ""not my department"" attitude. For many, this is a first impression of Yorkshire and I don't think it's a fair or representative one. Management should be ashamed.",1
"An absolute disaster of an airport. Been flying out of here for years and never seen it so bad. Passengers all crammed into a massive security queue, two and a half hours long, no public announcements either. Jet2 staff were occasionally calling out flights (I counted 3 flights) to allow some passengers to cut into Fast Track. Ryanair passengers were left high and dry, and were seemingly told by airport staff to skip the queue, causing fighting among passengers. Missed a flight after arriving 3 hours in advance due to this mismanagement and over-scheduling nonsense.",1
"Vile airport, the bar is an absolute filthy disgusting rip off, wouldnt given my dog the food from there! Staff are rude, wont clear tables or even try to wipe them.. never flying from this cesspool again!!",1
"I had a truly appalling experience with Wajid, the security employer at Wizz Air Leeds Airport he got angry that I was paying attention to how he was talking to an elderly person(his words to the elderly person''you are in England and you don't know how to speak English, it seems incredible to me'' , he refused to take my luggage and pulled me out of queue, categorically refusing to serve me anymore . Not only did he refuse to take my baggage, but his behavior towards an elderly person was abhorrent and blatantly racist. His dismissive attitude and disrespectful demeanor were utterly unacceptable. I strongly advise against any interaction with Wajid or his establishment.",1
"I'm sorry to say this about my 'local' airport but my recent visit was not enjoyable at all. The airport is absolutely filthy, circulation spaces, toilet facilities and security were all in need of a deep clean. There seemed to be no fresh air being circulated, it was hot (on a relatively cool day outside) stuffy, stifling and smelled stale. Security staff were rude and one member of staff was bordering on aggressive, the way he spoke to people in the queue was appalling. Leeds Bradford Airport Management must try harder, bearing in mind the extortionate prices charged for parking, drop off, food and drinks, customers deserve better. This is not a good experience and an unpleasant way to start or end a holiday or business trip.",1
"I was at this Bradford airport for the first time, I stopped by car 5 seconds before entering to make sure I could go.  VCS took me to court, then to debt collection and I have to pay £270. This is nothing more than a hunt for drivers' money.
Stealing drivers.  And the stupid CCBC court approves everything.",1
I don’t feel comfortable flying from here when the check in staff don’t understand how airports operate. Although my experience was average this little Britain airport need to understand international airport operations.,1
"Awful airport now. Used to be quite pleasant, but is an awful experience now.

Far too many people rammed in to a small area, meaning there is nowhere near enough seating or areas to eat or drink. Always red hot too.

The past 3 times, we’ve been stuck sitting on the plane for over an hour due to not enough busses to ferry us off. This ain’t the airlines fault, but the airports poor management.

The past 2 times, we have been waiting over an hour for our luggage to appear on the conveyor belt. Poor service from Swissport, but the airport management should be addressing this, and they don’t seem to be.

I’ll certainly be looking to fly from Newcastle or Manchester from now on.",1
Absolute nightmare when flights are cancelled. I know its not their fault but they need staff there to tell passengers what to do. Swissport staff were invisible and when we did find them we were invisible.,1
I became somewhat disorientated (it occasionally happens at 82 years of age!) by the poor signage at LBA and so I briefly stopped to see which lane I should be in. The recorded time for stopping was 15 seconds. It was dark and neither my wife nor I were aware of any 'no stopping' notices. I appealed the decision to fine me for this 'gross error' on my part but to no avail. When I asked what LBA thought of this they stated that 15 seconds was a prolonged stopping time!,1
"Shock. Small grubby, especially the toilets. Nowhere to sit whe a couple of flight are due out. On arrival no toilets until you clear customs. All other airports I've used have these facilities. Took over 25 mins to clear passport control. If we had had small children with us needing toilets then this would have been horrendous. This airport is not fit for purpose as it is for large volumes of travelers. Needs flattening an starting again. No. Point them applying for any extension to flight until these issues have been addressed. 1 star is being generous.",1
"Flew out from this airport on many occasions and rarely had an issue getting away. Getting back however, is a very different matter.  You can expect upwards of 1.5 to 2 hours in a queue to get through passport control.  If you have a non EU or UK passport you would be through relatively quickly but if you have a UK passport you can expect lengthy queues and contempt from the border force",1
"A very small airport with very little to do. Unfortunately our flight was delayed by 12 hours, leaving us sat for 14 hours, with the shops running out of some food items. Their saving grace was the kind, friendly staff at both of the bars; they were talkative and reassuring.
Upon return, the airport were incredibly unorganised. We sat on the plane for 15 minutes, waiting for the steps to be attached. Once through security, we went to fetch our bags. They'd unloaded a different flight, who hadn't yet passed through security) onto the conveyorbelt for our flight. They then had 2 flights gathering round another belt. It was utter chaos. Will not be returning.",1
"The airport is great. But what isn't is the taxi service outside.
I got a taxi to the airport using my usual taxi company on Saturday morning £21.00.
Got a taxi home tonight using the only taxi company available outside. Arrow cars £39.38p.
Total rip off. Someone is doing something wrong.",1
"Awful, there was an accident and people had to wait over 3 h to leave the airport (which is OK), what is not OK is rude staff. Shouting at passengers, rude, not helpful (well they were very important showing power when they could). Woman shouting to leave the airport and wait outside... Just wow during huragan. What got me there were so many children crying.. One autistic boy staff treaded him awful. In the future I will make sure to avoid this airport, staff there is revolting. I gave you one star only because I had to. Man shouting at woman and kids *wow*",1
Possibly the worst airport in the UK! There is always something wrong causing delays or cancellations where taking off or arriving at the airport. They do not care about passengers at all. More than happy to keep you trapped on planes on the tarmac for hours on end while their inadequate processes are “put into action”. Set of 🤡🤡🤡 running the show,1
"Absolutely shambolic, massive queues,. a serious problem, this was the same in April and June, picture was taken at 5am. What a shame, as in the past it was a nice airport. The management needs to be more efficient and focus on customer requirements. Will not travel from here in the future.",1
Awful experience making our way up the escalator to Boarder Control at the top of the escalator  and the staircase the landing area became crammed. This resulted in people falling  into each other due to the escalator still running. I had to call down from the top for someone to press the stop button to avoid  an accident happening. This needs resolving before a serious  accident happens.,1
"Only one plane in and waiting for bags almost 30 minutes, ridiculous. Bad service as always",1
"Complete idiots running this show... had my lost bag for 4 days and could not get it out for delivery. I went to the airport  to pick it up and they said they think it was out for delivery. I said confirm it, they could not.  So they checked and found it still at the airport , they would have made me go home and back again.  They would not accept their error.  Supervisors  are extremely rude and clueless in the operations. There will be lots luggage stacked here and not moving to frustrated passengers.",1
"Please, sort the ladies w.c.'s in the arrival/suitcase collection area, they were absolutely disgusting last night, Sunday 11th Feb 2024.  Fuerteventura airport immaculate.",1
"Google should have a 0 star option, because 1 star is way to deserving of this sorry excuse of an airport. A week ago, we almost missed our flight due to a ridiculous security queue. When we returned 1 week later, we are stuck in another queue to enter the country. Even in this peak period, only 1 counter is open. It ridiculous how inefficient this airport is. If you have a flight here, I would recommend coming 4 hours in advance because you will most certainly be stuck in a queue for hours due to their sorry facilities. They are unequipped for a post pandemic and brexit travel situation. Avoid if you can, you're probably better off taking a train to London or something and taking a flight from there.",1
"Worst airport I ever flew from and I travel abroad frequently. Not fit for its purpose. Please see attached picture of the queue to security check. It started at the end of a car park. This kind of queues are a daily occurrence now so set off a day early! Planes regularly delayed. Airport is dated, often you need to climb a lot of stairs. Parking ridiculously expensive, like everywhere in the UK.  British should learn something from other international airports which are modern, have more facilities, helpful staff, special queues for families travelling with children. Shame on you!",1
"£6.00 to drop off 2 passengers, in and out of the car park in 3 minutes. What an absolute rip off by greedy LBA . Avoid .",1
"This airport is such a sad and depressing place to start your journey or holiday, most other airports make LBA look very dated and cramped, it’s in desperate need of replacement, poor facilities and overcrowding, with hardly any natural daylight and a nonexistent ventilation system it’s not a nice place to spend time waiting for your flight. The prices for food and drink are extortionate and offer very limited choice. On our return a week later the feeling was no better, the terminal arrival entrance was just as tired and depressing, a warm welcome to Yorkshire - I think not! The arrivals escalator seems to be either permanently switched off or broken. Come on LBA get yourself sorted and provide an airport worthy of Yorkshire.",1
"Absolutely abhorrent!!

Forced to stand in the pouring rain on the wettest day of the year waiting for a plane that hadn't even arrived yet

Update: Flight has now been delayed and we have been told to return to the airport where we have waited for over 2 hours with no update to our current schedule
Worst travelling days of my life",1
"The worst airport I've ever been to. Delays all the time. Staff don't seem to know anything or move quickly. Ground staff seem surprised when planes land.

Just waited 2 hours to get off plane and through security. Kids crying everywhere and no priority queue for families. Everywhere else I go they help get kids through.

My wife picked me up and had to pay £54 in parking charges due to the delay. Not fit for purpose.",1
"The actual airport itself has improved a bit but hoping this will help people who don’t want to get ripped off by the taxis there.

We got an Uber for our outgoing flight and the driver told us £5 of our fare would be to pay the drop off fee. The whole fare cost £16.

After our incoming flight arrived, I went to book a taxi with the airport’s partner company Arrow cars. The quote was £28 even though I presume they don’t have to pay the fee. We walked 5 minutes to just outside the No-stopping zone and got an Uber for £11.

Never seen an airport with so many drop off restrictions!",1
"Unquestionably the worst airport experience I have had. A busy June day simply overwhelmed the airport. Check in and security were good, but past that the airport is just too small for the volume of passengers. Not only were there massive queues to get anything, there was nowhere left to sit and not even any space left to sit on the floor near a wall. The staff there were doing the best they could, but it must be a tough place to work some days. Significant investment and expansion needed.",1
"It’s local to me, but has to be one of the worst airports in the country. It’s dated, dirty and swings from being pleasantly calm — very occasionally — to rammed with so many people they literally don’t fit in the terminal. The security staff are a joke. They have no idea what they are doing. They have one guy waving everyone through the metal detector which alarms every time and tells them to keep moving anyway and another guy who is checking through hand luggage trying to argue with me that a solid deodorant stick is classed as a liquid or gel… I travel all over the world with the same stuff in my hand luggage and airport security has never tried to tell me a solid is a liquid before.",1
"Awful experience. Went to pick my partner up from an early flight. Had never been here before but googled the 'Free car park pick up' and it took me straight through the main drop off on Google maps. I then stopped for less than a minute to let my partner get in the car and drove out having paid £6 for the pleasure of being in there less than a minute. 3 weeks later i received a fine from the company the airport works with who have cameras everywhere. £100 fine for stopping less than a minute to let my partner get in the car, no signage anywhere to say this isn't allowed or what the payments are in the drop off area. You go in blind. No cars behind me or in front of me so i wasn't holding anyone up. The company the airport work with is well known for being con-artists, VEHICLE CONTROL SERVICES LTD. If you google them you will see. Very disappointed and will not be using this airport again. Liverpool or Manchester are much better. Drop off at Manchester is £5 and it's a bigger city??",1
Just at the airport at 6pm on a weekday. The bars are a disgrace. Tables covered in glasses and hardly a table free that isn’t already used and filthy. What an awful place to start a journey. Hardly any staff to do the clearing and those that are working seem to prefer standing chatting than actually getting on with making this a more pleasant place. And don’t get me started on the appalling prices for this privilege. And no internet connection either.,1
"Security queue on the way out, awful.

Tiny airport inside with limited options.

Way home, landed, then no shuttle bus for 30 minutes, sat waiting on the plane.",1
Was picking my daughter and friend up at 10.20pm took the wrong turning and wasn’t able to turn around and had to go into pick up drop off but actually wanted the free for one hour car park i stopped to read the sign in car park then drove straight out and was charged 6.50 for been in there a minute and half I think it’s disgusting,1
"This has to be the worst airport in England
Thousands of people No were to sit air conditioning not working to unbelievable
Time to find a better airport I would rather drive 2 hour than fly from Leeds and Bradford it’s a safety hazard about to happen",1
"Really rubbish parking and expensive, I have complained to the airport about their parking management company (VCS of course) but they've just ignored my complaint. I will be complaining to my MP as well as someone needs to do something about these rip offs",1
"One of the worst airports in the world.
Pretty grim but Passport control and security is so far behind other European countries.",1
"Without doubt in the running for the worst UK airport, from the poor over priced food in restaurants to the lack of space and seating. Special mention to the downstairs bar which during a 1 hour delay and sat waiting they managed to not clean one table. At arrival it takes over 2 hours to disembark, clear the border and collect bags. Amazing how one airport can get every step of the way wrong.",1
"My wife drove through the drop off zone to let me out and for a final hug to her and our kids. Took all in all 3 min! Airport charged 6£, although sign said 10 min are for free. Nobody there, nobody to talk to. Commercial scam!",1
"Awful airport, when arriving from krakow we were stuck on the plane for about an hour. Apparently the ground team “had forgot about us” nothing was organised and hopefully I will never return.",1
